PropertyID,PropertyStreetCode,PropertyTown,PropertyCounty,PropertyCurrentStatus,PropertyType,PropertyAreaOffice,PropertyOwningBody,PropertyLocalAuthorityArea,PropertySubType,PropertyStyle,YearOfConstruction,BedSpaces
U13814,Hillside Manor,Chapelizod,Dublin 20,Pre-acquisition Void,Property,Brian Lambe,In Development - pre closing,Dublin City ,General Needs,Apartment,2022,3
2504,Garrydhu Drive,Carrigaline,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork County ,General Needs,Terraced House,2005,2
U13815,Hillside Manor,Chapelizod,Dublin 20,Pre-acquisition Void,Property,Brian Lambe,In Development - pre closing,Dublin City ,General Needs,Duplex,2022,3
2506,Garrydhu Drive,Carrigaline,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork County ,General Needs,Terraced House,2005,3
2508,Garrydhu Drive,Carrigaline,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork County ,General Needs,Terraced House,2005,3
2510,The Maples,Mahon,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Semi-detached House,1996,2
2511,The Maples,Mahon,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Bungalow -detached,1996,2
2512,The Maples,Mahon,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Semi-detached House,1996,2
2513,The Maples,Mahon,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Semi-detached House,1996,3
2517,The Maples,Mahon,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Bungalow -detached,1996,1
2519,The Maples,Mahon,Co. Cork,Occupied,Property,Gerard Deegan,Residential In Management,Cork City ,General Needs,Semi-detached House,1996,3
